Artist,Title,Label,Path
The Weeknd,Blinding Lights,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Blinding Lights - The Weeknd.mp3
Olivia Rodrigo,Good 4 U,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Good 4 U - Olivia Rodrigo.mp3
Olivia Rodrigo,Drivers License,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Drivers License - Olivia Rodrigo.mp3
Lil Nas X,Montero (Call Me By Your Name),1,/home/yamen/Projects/Technocolabs/sample_data/popular/Montero (Call Me By Your Name) - Lil Nas X.mp3
BTS,Butter,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Butter - BTS.mp3
Olivia Rodrigo,Deja Vu,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Deja Vu - Olivia Rodrigo.mp3
Ariana Grande,Positions,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Positions - Ariana Grande.mp3
Ed Sheeran,Bad Habits,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bad Habits - Ed Sheeran.mp3
Luke Combs,Forever After All,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Forever After All - Luke Combs.mp3
Pop Smoke,What You Know Bout Love,1,/home/yamen/Projects/Technocolabs/sample_data/popular/What You Know Bout Love - Pop Smoke.mp3
Billie Eilish,Therefore I Am,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Therefore I Am - Billie Eilish.mp3
Cardi B,Up,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Up - Cardi B.mp3
Lil Baby,On Me,1,/home/yamen/Projects/Technocolabs/sample_data/popular/On Me - Lil Baby.mp3
Olivia Rodrigo,Traitor,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Traitor - Olivia Rodrigo.mp3
BTS,Dynamite,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Dynamite - BTS.mp3
Doja Cat,Need To Know,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Need To Know - Doja Cat.mp3
Taylor Swift,Willow,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Willow - Taylor Swift.mp3
Luke Combs,Better Together,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Better Together - Luke Combs.mp3
Doja Cat,Streets,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Streets - Doja Cat.mp3
Drake,What's Next,1,/home/yamen/Projects/Technocolabs/sample_data/popular/What's Next - Drake.mp3
Roddy Ricch,Late At Night,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Late At Night - Roddy Ricch.mp3
Justin Bieber,Anyone,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Anyone - Justin Bieber.mp3
Ariana Grande,pov,1,/home/yamen/Projects/Technocolabs/sample_data/popular/pov - Ariana Grande.mp3
The Weeknd,Take My Breath,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Take My Breath - The Weeknd.mp3
Billie Eilish,Happier Than Ever,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Happier Than Ever - Billie Eilish.mp3
Post Malone,Circles,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Circles - Post Malone.mp3
Roddy Ricch,The Box,1,/home/yamen/Projects/Technocolabs/sample_data/popular/The Box - Roddy Ricch.mp3
Harry Styles,Adore You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Adore You - Harry Styles.mp3
Maroon 5,Memories,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Memories - Maroon 5.mp3
Doja Cat,Say So,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Say So - Doja Cat.mp3
Billie Eilish,Everything I Wanted,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Everything I Wanted - Billie Eilish.mp3
Harry Styles,Watermelon Sugar,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Watermelon Sugar - Harry Styles.mp3
The Weeknd,Heartless,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Heartless - The Weeknd.mp3
DaBaby,BOP,1,/home/yamen/Projects/Technocolabs/sample_data/popular/BOP - DaBaby.mp3
Drake,Toosie Slide,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Toosie Slide - Drake.mp3
Morgan Wallen,Chasin' You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Chasin' You - Morgan Wallen.mp3
Lil Baby,Woah,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Woah - Lil Baby.mp3
Travis Scott,HIGHEST IN THE ROOM,1,/home/yamen/Projects/Technocolabs/sample_data/popular/HIGHEST IN THE ROOM - Travis Scott.mp3
Billie Eilish,Bad Guy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bad Guy - Billie Eilish.mp3
Justin Bieber,Yummy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Yummy - Justin Bieber.mp3
Lil Nas X,Panini,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Panini - Lil Nas X.mp3
Lil Baby,Emotionally Scarred,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Emotionally Scarred - Lil Baby.mp3
Lil Baby,The Bigger Picture,1,/home/yamen/Projects/Technocolabs/sample_data/popular/The Bigger Picture - Lil Baby.mp3
