Artist,Title,Label,Path,Chorus_Path
The Weeknd,Blinding Lights,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Blinding Lights - The Weeknd.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Blinding Lights - The Weeknd.mp3.wav
Olivia Rodrigo,Good 4 U,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Good 4 U - Olivia Rodrigo.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Good 4 U - Olivia Rodrigo.mp3.wav
Olivia Rodrigo,Drivers License,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Drivers License - Olivia Rodrigo.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Drivers License - Olivia Rodrigo.mp3.wav
Lil Nas X,Montero (Call Me By Your Name),1,/home/yamen/Projects/Technocolabs/sample_data/popular/Montero (Call Me By Your Name) - Lil Nas X.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Montero (Call Me By Your Name) - Lil Nas X.mp3.wav
BTS,Butter,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Butter - BTS.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Butter - BTS.mp3.wav
Olivia Rodrigo,Deja Vu,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Deja Vu - Olivia Rodrigo.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Deja Vu - Olivia Rodrigo.mp3.wav
Ariana Grande,Positions,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Positions - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Positions - Ariana Grande.mp3.wav
Ed Sheeran,Bad Habits,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bad Habits - Ed Sheeran.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Bad Habits - Ed Sheeran.mp3.wav
Luke Combs,Forever After All,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Forever After All - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Forever After All - Luke Combs.mp3.wav
Pop Smoke,What You Know Bout Love,1,/home/yamen/Projects/Technocolabs/sample_data/popular/What You Know Bout Love - Pop Smoke.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/What You Know Bout Love - Pop Smoke.mp3.wav
