Artist,Title,Label,Path,Chorus_Path,extracted_chorus_path
The Weeknd,Blinding Lights,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Blinding Lights - The Weeknd.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Blinding Lights - The Weeknd.mp3.wav,Extract_Chorus/Blinding Lights - The Weeknd.wav
Olivia Rodrigo,Good 4 U,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Good 4 U - Olivia Rodrigo.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Good 4 U - Olivia Rodrigo.mp3.wav,Extract_Chorus/Good 4 U - Olivia Rodrigo.wav
Olivia Rodrigo,Drivers License,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Drivers License - Olivia Rodrigo.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Drivers License - Olivia Rodrigo.mp3.wav,Extract_Chorus/Drivers License - Olivia Rodrigo.wav
Lil Nas X,Montero (Call Me By Your Name),1,/home/yamen/Projects/Technocolabs/sample_data/popular/Montero (Call Me By Your Name) - Lil Nas X.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Montero (Call Me By Your Name) - Lil Nas X.mp3.wav,Extract_Chorus/Montero (Call Me By Your Name) - Lil Nas X.wav
BTS,Butter,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Butter - BTS.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Butter - BTS.mp3.wav,Extract_Chorus/Butter - BTS.wav
Olivia Rodrigo,Deja Vu,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Deja Vu - Olivia Rodrigo.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Deja Vu - Olivia Rodrigo.mp3.wav,Extract_Chorus/Deja Vu - Olivia Rodrigo.wav
Ariana Grande,Positions,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Positions - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Positions - Ariana Grande.mp3.wav,Extract_Chorus/Positions - Ariana Grande.wav
Ed Sheeran,Bad Habits,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bad Habits - Ed Sheeran.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Bad Habits - Ed Sheeran.mp3.wav,Extract_Chorus/Bad Habits - Ed Sheeran.wav
Luke Combs,Forever After All,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Forever After All - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Forever After All - Luke Combs.mp3.wav,Extract_Chorus/Forever After All - Luke Combs.wav
Pop Smoke,What You Know Bout Love,1,/home/yamen/Projects/Technocolabs/sample_data/popular/What You Know Bout Love - Pop Smoke.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/What You Know Bout Love - Pop Smoke.mp3.wav,Extract_Chorus/What You Know Bout Love - Pop Smoke.wav
Billie Eilish,Therefore I Am,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Therefore I Am - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Therefore I Am - Billie Eilish.mp3.wav,Extract_Chorus/Therefore I Am - Billie Eilish.wav
Cardi B,Up,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Up - Cardi B.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Up - Cardi B.mp3.wav,Extract_Chorus/Up - Cardi B.wav
Lil Baby,On Me,1,/home/yamen/Projects/Technocolabs/sample_data/popular/On Me - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/On Me - Lil Baby.mp3.wav,Extract_Chorus/On Me - Lil Baby.wav
